Building Code,Building Name,Room Number,Floor,Capacity,Occupied,Status,Is Locked,Assigned Students,Student Emails
F_NEW,"អន្តេវាសិកដ្ឋាននារីថ្មី (New Female)",F103,1,8,0,available,Open,"",""
F_NEW,"អន្តេវាសិកដ្ឋាននារីថ្មី (New Female)",F104,1,8,0,available,Open,"",""
F_NEW,"អន្តេវាសិកដ្ឋាននារីថ្មី (New Female)",F201,2,8,0,available,Open,"",""
F_NEW,"អន្តេវាសិកដ្ឋាននារីថ្មី (New Female)",F202,2,8,0,available,Open,"",""
F_NEW,"អន្តេវាសិកដ្ឋាននារីថ្មី (New Female)",F203,2,8,0,available,Open,"",""
F_NEW,"អន្តេវាសិកដ្ឋាននារីថ្មី (New Female)",F204,2,8,0,available,Open,"",""
F_NEW,"អន្តេវាសិកដ្ឋាននារីថ្មី (New Female)",F205,2,8,0,available,Open,"",""
F_NEW,"អន្តេវាសិកដ្ឋាននារីថ្មី (New Female)",F206,2,8,0,available,Open,"",""
F_NEW,"អន្តេវាសិកដ្ឋាននារីថ្មី (New Female)",F207,2,8,0,available,Open,"",""
F_NEW,"អន្តេវាសិកដ្ឋាននារីថ្មី (New Female)",F208,2,8,0,available,Open,"",""
F_NEW,"អន្តេវាសិកដ្ឋាននារីថ្មី (New Female)",F209,2,8,0,available,Open,"",""
F_NEW,"អន្តេវាសិកដ្ឋាននារីថ្មី (New Female)",F210,2,8,0,available,Open,"",""
F_NEW,"អន្តេវាសិកដ្ឋាននារីថ្មី (New Female)",F301,3,8,0,available,Open,"",""
F_NEW,"អន្តេវាសិកដ្ឋាននារីថ្មី (New Female)",F302,3,8,0,available,Open,"",""
F_NEW,"អន្តេវាសិកដ្ឋាននារីថ្មី (New Female)",F303,3,8,0,available,Open,"",""
F_NEW,"អន្តេវាសិកដ្ឋាននារីថ្មី (New Female)",F304,3,8,0,available,Open,"",""
F_NEW,"អន្តេវាសិកដ្ឋាននារីថ្មី (New Female)",F305,3,8,0,available,Open,"",""
F_NEW,"អន្តេវាសិកដ្ឋាននារីថ្មី (New Female)",F306,3,8,0,available,Open,"",""
F_NEW,"អន្តេវាសិកដ្ឋាននារីថ្មី (New Female)",F307,3,8,0,available,Open,"",""
F_NEW,"អន្តេវាសិកដ្ឋាននារីថ្មី (New Female)",F308,3,8,0,available,Open,"",""
F_NEW,"អន្តេវាសិកដ្ឋាននារីថ្មី (New Female)",F309,3,8,0,available,Open,"",""
F_NEW,"អន្តេវាសិកដ្ឋាននារីថ្មី (New Female)",F310,3,8,0,available,Open,"",""
M_NEW,"អន្តេវាសិកដ្ឋានបុរសថ្មី (New Male)",M101,1,8,0,available,Open,"",""
M_NEW,"អន្តេវាសិកដ្ឋានបុរសថ្មី (New Male)",M102,1,8,0,available,Open,"",""
M_NEW,"អន្តេវាសិកដ្ឋានបុរសថ្មី (New Male)",M103,1,8,0,available,Open,"",""
M_NEW,"អន្តេវាសិកដ្ឋានបុរសថ្មី (New Male)",M104,1,8,0,available,Open,"",""
M_NEW,"អន្តេវាសិកដ្ឋានបុរសថ្មី (New Male)",M201,2,8,0,available,Open,"",""
M_NEW,"អន្តេវាសិកដ្ឋានបុរសថ្មី (New Male)",M202,2,8,0,available,Open,"",""
M_NEW,"អន្តេវាសិកដ្ឋានបុរសថ្មី (New Male)",M203,2,8,0,available,Open,"",""
M_NEW,"អន្តេវាសិកដ្ឋានបុរសថ្មី (New Male)",M204,2,8,0,available,Open,"",""
M_NEW,"អន្តេវាសិកដ្ឋានបុរសថ្មី (New Male)",M205,2,8,0,available,Open,"",""
M_NEW,"អន្តេវាសិកដ្ឋានបុរសថ្មី (New Male)",M206,2,8,0,available,Open,"",""
M_NEW,"អន្តេវាសិកដ្ឋានបុរសថ្មី (New Male)",M207,2,8,0,available,Open,"",""
M_NEW,"អន្តេវាសិកដ្ឋានបុរសថ្មី (New Male)",M208,2,8,0,available,Open,"",""
M_NEW,"អន្តេវាសិកដ្ឋានបុរសថ្មី (New Male)",M209,2,8,0,available,Open,"",""
M_NEW,"អន្តេវាសិកដ្ឋានបុរសថ្មី (New Male)",M210,2,8,0,available,Open,"",""
M_NEW,"អន្តេវាសិកដ្ឋានបុរសថ្មី (New Male)",M301,3,8,0,available,Open,"",""
M_NEW,"អន្តេវាសិកដ្ឋានបុរសថ្មី (New Male)",M302,3,8,0,available,Open,"",""
M_NEW,"អន្តេវាសិកដ្ឋានបុរសថ្មី (New Male)",M303,3,8,0,available,Open,"",""
M_NEW,"អន្តេវាសិកដ្ឋានបុរសថ្មី (New Male)",M304,3,8,0,available,Open,"",""
M_NEW,"អន្តេវាសិកដ្ឋានបុរសថ្មី (New Male)",M305,3,8,0,available,Open,"",""
M_NEW,"អន្តេវាសិកដ្ឋានបុរសថ្មី (New Male)",M306,3,8,0,available,Open,"",""
M_NEW,"អន្តេវាសិកដ្ឋានបុរសថ្មី (New Male)",M307,3,8,0,available,Open,"",""
M_NEW,"អន្តេវាសិកដ្ឋានបុរសថ្មី (New Male)",M308,3,8,0,available,Open,"",""
M_NEW,"អន្តេវាសិកដ្ឋានបុរសថ្មី (New Male)",M309,3,8,0,available,Open,"",""
M_NEW,"អន្តេវាសិកដ្ឋានបុរសថ្មី (New Male)",M310,3,8,0,available,Open,"",""
